,player_name,season,depth,targets,receptions,receiving_yards,receiving_air_yards,yards_after_catch,reception_td,reception_fumble_lost,fantasy_points_ppr,air_yards_share,target_share,rec_td_pct,yptarget,ypr,rush_td_pct,ypc,touches,total_tds,td_pct,total_yards,yptouch,games,pass_ypg,rec_ypg,rush_ypg,ypg,ppg,passer_rating,offense_pct,offense_snaps,yards_pct,draft_year,draft_round,draft_pick,draft_ovr,height,weight_x,age,wins,losses,ties,win_pct,seasons_played,career_targets,average_targets,career_receptions,average_receptions,career_receiving_yards,average_receiving_yards,career_receiving_air_yards,average_receiving_air_yards,career_yards_after_catch,average_yards_after_catch,career_reception_td,average_reception_td,career_reception_fumble_lost,average_reception_fumble_lost,career_fantasy_points_ppr,average_fantasy_points_ppr,career_touches,average_touches,career_total_tds,average_total_tds,career_total_yards,average_total_yards,career_games,average_games,career_offense_snaps,average_offense_snaps,average_comp_pct,average_int_pct,average_pass_td_pct,average_ypa,average_rec_td_pct,average_yptarget,average_ypr,average_rush_td_pct,average_ypc,average_td_pct,average_yptouch,average_pass_ypg,average_rec_ypg,average_rush_ypg,average_ypg,average_ppg,injuries,career_injuries,combineId,playerId,combineYear,combineHeight,combineWeight,combineHand,collegeId,heightInches,weight_y,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle,combineWonderlic
360,K.J. Osborn,2021,2.0,82.0,50.0,655.0,861.0,179.0,7.0,0.0,158.5,0.257,0.159,0.085,7.99,13.1,0.0,10.0,51.0,7.0,0.14,665.0,13.04,17.0,0.0,38.53,0.59,39.12,9.32,0.0,0.682,733,0.063,2020.0,5.0,30.0,176.0,72.0,200.0,24,8,9,0,0.471,1.0,82.0,82.0,50.0,50.0,655.0,655.0,861.0,861.0,179.0,179.0,7.0,7.0,0.0,0.0,158.5,158.5,51.0,51.0,7.0,7.0,665.0,665.0,17.0,17.0,733.0,733.0,0.0,0.0,0.0,0.0,0.085,7.99,13.1,0.0,10.0,0.14,13.04,0.0,38.53,0.59,39.12,9.32,1.0,1.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
361,Kadarius Toney,2021,2.0,57.0,39.0,420.0,367.0,228.0,1.0,0.0,88.12,0.072,0.102,0.018,7.37,10.77,0.0,2.0,46.0,1.0,0.02,439.0,9.54,9.0,1.44,46.67,0.67,48.78,9.79,36.46,0.465,484,0.052,2021.0,1.0,20.0,20.0,72.0,193.0,22,4,13,0,0.235,0.0,57.0,57.0,39.0,39.0,420.0,420.0,367.0,367.0,228.0,228.0,1.0,1.0,0.0,0.0,88.12000274658203,88.12000274658203,46.0,46.0,1.0,1.0,439.0,439.0,9.0,9.0,484.0,484.0,0.25,0.0,0.0,3.25,0.018,7.37,10.77,0.0,2.0,0.02,9.54,1.44,46.67,0.67,48.78,9.79,9.0,9.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
362,Kaelin Clay,2017,2.0,20.0,6.0,85.0,338.0,20.0,0.0,0.0,17.2,0.085,0.037,0.0,4.25,14.17,0.0,9.0,9.0,0.0,0.0,112.0,12.44,3.0,0.0,28.33,9.0,37.33,5.73,0.0,0.282,280,0.014,2015.0,6.0,8.0,184.0,70.0,195.0,25,9,7,0,0.562,2.0,20.0,10.0,6.0,3.0,85.0,42.5,338.0,169.0,20.0,10.0,0.0,0.0,0.0,0.0,17.200000762939453,8.600000381469727,9.0,4.5,0.0,0.0,112.0,56.0,3.0,1.5,280.0,140.0,0.0,0.0,0.0,0.0,0.0,4.25,14.17,0.0,9.0,0.0,12.44,0.0,28.33,9.0,37.33,5.73,1.0,1.0,18619.0,20150184.0,2015.0,69.5,195.0,9.586666666666668,84112.0,70.0,195.0,32.67433333333334,4.51,33.0,10.0,4.26,113.0,6.97,11.728636363636362,19.495495495495497
363,Kalif Raymond,2016,2.0,2.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.014,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,140,0.0,2016.0,8.0,48.0,263.0,68.0,180.0,22,9,7,0,0.562,0.0,2.0,2.0,0.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
364,Kamar Aiken,2014,2.0,32.0,24.0,267.0,385.0,61.0,3.0,0.0,68.7,0.07,0.053,0.094,8.34,11.12,0.0,0.0,24.0,3.0,0.12,267.0,11.12,13.0,0.0,20.54,0.0,20.54,5.28,0.0,0.254,254,0.027,2011.0,8.0,48.0,263.0,74.0,216.0,25,10,6,0,0.625,3.0,32.0,10.666666666666666,24.0,8.0,267.0,89.0,385.0,128.33333333333334,61.0,20.33333333333333,3.0,1.0,0.0,0.0,68.69999694824219,22.899998982747395,24.0,8.0,3.0,1.0,267.0,89.0,13.0,4.333333333333333,254.0,84.66666666666667,0.0,0.0,0.0,0.0,0.094,8.34,11.12,0.0,0.0,0.12,11.12,0.0,20.54,0.0,20.54,5.28,1.0,1.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
365,Kasen Williams,2015,3.0,1.0,1.0,8.0,5.0,3.0,0.0,0.0,2.3,0.001,0.002,0.0,8.0,8.0,0.0,5.0,2.0,0.0,0.0,13.0,6.5,1.0,0.0,8.0,5.0,13.0,2.3,0.0,0.195,197,0.001,2015.0,8.0,48.0,263.0,74.0,219.0,23,10,6,0,0.625,0.0,1.0,1.0,1.0,1.0,8.0,8.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,2.299999952316284,2.299999952316284,2.0,2.0,0.0,0.0,13.0,13.0,1.0,1.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,5.0,0.0,6.5,0.0,8.0,5.0,13.0,2.3,8.0,8.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
366,Kayshon Boutte,2023,3.0,7.0,2.0,19.0,125.0,10.0,0.0,0.0,3.9,0.023,0.011,0.0,2.71,9.5,0.0,0.0,2.0,0.0,0.0,19.0,9.5,3.0,0.0,6.33,0.0,6.33,1.3,0.0,0.33,335,0.002,2023.0,6.0,10.0,187.0,71.0,197.0,21,4,13,0,0.235,0.0,7.0,7.0,2.0,2.0,19.0,19.0,125.0,125.0,10.0,10.0,0.0,0.0,0.0,0.0,3.900000095367432,3.900000095367432,2.0,2.0,0.0,0.0,19.0,19.0,3.0,3.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,2.71,9.5,0.0,0.0,0.0,9.5,0.0,6.33,0.0,6.33,1.3,4.0,4.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
367,KeeSean Johnson,2019,2.0,43.0,21.0,189.0,394.0,43.0,1.0,1.0,43.2,0.081,0.065,0.023,4.4,9.0,0.0,3.0,22.0,1.0,0.05,192.0,8.73,10.0,0.0,18.9,0.3,19.2,4.32,0.0,0.527,520,0.021,2019.0,6.0,1.0,174.0,73.0,201.0,23,5,11,1,0.294,0.0,43.0,43.0,21.0,21.0,189.0,189.0,394.0,394.0,43.0,43.0,1.0,1.0,1.0,1.0,43.20000076293945,43.20000076293945,22.0,22.0,1.0,1.0,192.0,192.0,10.0,10.0,520.0,520.0,0.0,0.0,0.0,0.0,0.023,4.4,9.0,0.0,3.0,0.05,8.73,0.0,18.9,0.3,19.2,4.32,4.0,4.0,20396.0,20190174.0,2019.0,73.0,201.0,9.586666666666668,93740.0,74.0,200.0,32.67433333333334,4.6,30.0,14.0,4.23,117.0,7.28,11.728636363636362,19.495495495495497
368,Keelan Cole,2017,2.0,83.0,42.0,748.0,1038.0,299.0,4.0,1.0,137.8,0.208,0.13,0.048,9.01,17.81,0.0,0.0,42.0,4.0,0.1,748.0,17.81,16.0,0.0,46.75,0.0,46.75,8.61,0.0,0.662,706,0.078,2017.0,8.0,48.0,263.0,73.0,194.0,24,10,6,0,0.625,0.0,83.0,83.0,42.0,42.0,748.0,748.0,1038.0,1038.0,299.0,299.0,4.0,4.0,1.0,1.0,137.8000030517578,137.8000030517578,42.0,42.0,4.0,4.0,748.0,748.0,16.0,16.0,706.0,706.0,0.0,0.0,0.0,0.0,0.048,9.01,17.81,0.0,0.0,0.1,17.81,0.0,46.75,0.0,46.75,8.61,4.0,4.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
369,Keenan Allen,2017,1.0,159.0,102.0,1393.0,1434.0,501.0,6.0,0.0,278.2,0.361,0.277,0.038,8.76,13.66,0.0,4.5,104.0,6.0,0.06,1402.0,13.48,16.0,0.0,87.06,0.56,87.62,17.39,0.0,0.844,846,0.132,2013.0,3.0,14.0,76.0,74.0,211.0,25,9,7,0,0.562,4.0,159.0,39.75,102.0,25.5,1393.0,348.25,1434.0,358.5,501.0,125.25,6.0,1.5,0.0,0.0,278.20001220703125,69.55000305175781,104.0,26.0,6.0,1.5,1402.0,350.5,16.0,4.0,846.0,211.5,0.0,0.0,0.0,0.0,0.038,8.76,13.66,0.0,4.5,0.06,13.48,0.0,87.06,0.56,87.62,17.39,1.0,12.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
