,player_name,season,depth,targets,receptions,receiving_yards,receiving_air_yards,yards_after_catch,reception_td,reception_fumble_lost,fantasy_points_ppr,air_yards_share,target_share,rec_td_pct,yptarget,ypr,rush_td_pct,ypc,touches,total_tds,td_pct,total_yards,yptouch,games,pass_ypg,rec_ypg,rush_ypg,ypg,ppg,passer_rating,offense_pct,offense_snaps,yards_pct,draft_year,draft_round,draft_pick,draft_ovr,height,weight_x,age,wins,losses,ties,win_pct,seasons_played,career_targets,average_targets,career_receptions,average_receptions,career_receiving_yards,average_receiving_yards,career_receiving_air_yards,average_receiving_air_yards,career_yards_after_catch,average_yards_after_catch,career_reception_td,average_reception_td,career_reception_fumble_lost,average_reception_fumble_lost,career_fantasy_points_ppr,average_fantasy_points_ppr,career_touches,average_touches,career_total_tds,average_total_tds,career_total_yards,average_total_yards,career_games,average_games,career_offense_snaps,average_offense_snaps,average_comp_pct,average_int_pct,average_pass_td_pct,average_ypa,average_rec_td_pct,average_yptarget,average_ypr,average_rush_td_pct,average_ypc,average_td_pct,average_yptouch,average_pass_ypg,average_rec_ypg,average_rush_ypg,average_ypg,average_ppg,injuries,career_injuries,combineId,playerId,combineYear,combineHeight,combineWeight,combineHand,collegeId,heightInches,weight_y,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle,combineWonderlic
133,D'Wayne Eskridge,2023,2.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.5,0.004,0.002,0.0,0.0,0.0,0.0,2.5,2.0,0.0,0.0,5.0,2.5,3.0,0.0,0.0,1.67,1.67,0.17,0.0,0.097,95,0.001,2021.0,2.0,24.0,56.0,69.0,190.0,26,9,8,0,0.529,2.0,34.0,17.0,17.0,8.5,122.0,61.0,323.0,161.5,78.0,39.0,1.0,0.5,0.0,0.0,42.59999942779541,21.299999713897705,25.0,12.5,1.0,0.5,196.0,98.0,19.0,9.5,690.0,345.0,0.0,0.0,0.0,0.0,0.029,3.59,7.18,0.0,9.25,0.04,7.84,0.0,6.42,3.89,10.32,2.24,5.0,11.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
134,D.J. Chark,2023,1.0,66.0,35.0,525.0,1016.0,84.0,5.0,1.0,114.5,0.223,0.126,0.076,7.95,15.0,0.0,0.0,35.0,5.0,0.14,525.0,15.0,14.0,0.0,37.5,0.0,37.5,8.18,0.0,0.757,828,0.068,2018.0,2.0,29.0,61.0,75.0,200.0,27,2,15,0,0.118,5.0,387.0,77.4,212.0,42.4,3071.0,614.2,5179.0,1035.8,766.0,153.2,23.0,4.6,2.0,0.4,653.100004196167,130.6200008392334,214.0,42.8,23.0,4.6,3091.0,618.2,66.0,13.2,4301.0,860.2,0.0,0.0,0.0,0.0,0.059,7.94,14.49,0.0,10.0,0.11,14.44,0.0,46.53,0.3,46.83,9.9,4.0,18.0,19999.0,20180061.0,2018.0,75.0,199.0,9.586666666666668,70803.0,76.0,198.0,32.67433333333334,4.34,40.0,16.0,4.243622902270483,129.0,6.9371444695259585,11.728636363636362,19.495495495495497
135,D.J. Montgomery,2023,2.0,8.0,3.0,56.0,97.0,28.0,1.0,0.0,14.6,0.015,0.012,0.125,7.0,18.67,0.0,0.0,3.0,1.0,0.33,56.0,18.67,2.0,0.0,28.0,0.0,28.0,7.3,0.0,0.259,281,0.006,2019.0,8.0,48.0,263.0,73.0,201.0,27,9,8,0,0.529,4.0,14.0,3.5,6.0,1.5,92.0,23.0,136.0,34.0,43.0,10.75,1.0,0.25,0.0,0.0,21.20000028610229,5.300000071525574,6.0,1.5,1.0,0.25,92.0,23.0,3.0,0.75,550.0,137.5,0.0,0.0,0.0,0.0,0.071,6.57,15.33,0.0,0.0,0.17,15.33,0.0,30.67,0.0,30.67,7.07,1.0,1.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
136,D.J. Moore,2023,1.0,138.0,96.0,1364.0,1476.0,539.0,8.0,1.0,285.5,0.306,0.26,0.058,9.88,14.21,0.25,5.25,100.0,9.0,0.09,1385.0,13.85,17.0,0.0,80.24,1.24,81.47,16.79,0.0,0.906,986,0.155,2018.0,1.0,24.0,24.0,71.0,210.0,26,7,10,0,0.412,5.0,756.0,151.2,460.0,92.0,6571.0,1314.2,8524.0,1704.8,2344.0,468.8,29.0,5.8,4.0,0.8,1317.6999969482422,263.5399993896484,504.0,100.8,30.0,6.0,6927.0,1385.4,97.0,19.4,5346.0,1069.2,0.0,0.0,0.0,0.0,0.038,8.69,14.28,0.023,8.28,0.06,13.74,0.0,67.74,3.67,71.41,13.58,1.0,5.0,20143.0,20180024.0,2018.0,72.0,210.0,9.586666666666668,20740.0,71.0,215.0,32.67433333333334,4.42,39.5,15.0,4.07,132.0,6.95,11.728636363636362,19.495495495495497
137,D.J. Turner,2022,2.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,2.6,0.001,0.002,0.0,0.0,0.0,0.0,6.5,4.0,0.0,0.0,26.0,6.5,2.0,0.0,0.0,13.0,13.0,1.3,0.0,0.06,62,0.003,2021.0,8.0,48.0,263.0,69.0,205.0,25,6,11,0,0.353,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999046325684,2.5999999046325684,4.0,4.0,0.0,0.0,26.0,26.0,2.0,2.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,6.5,0.0,0.0,13.0,13.0,1.3,1.0,1.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
138,DK Metcalf,2023,1.0,119.0,66.0,1114.0,1529.0,367.0,8.0,0.0,225.4,0.376,0.272,0.067,9.36,16.88,0.0,0.0,66.0,8.0,0.12,1114.0,16.88,16.0,0.0,69.62,0.0,69.62,14.09,0.0,0.843,829,0.115,2019.0,2.0,32.0,64.0,76.0,235.0,26,9,8,0,0.529,4.0,621.0,155.25,372.0,93.0,5334.0,1333.5,7807.0,1951.75,1550.0,387.5,44.0,11.0,6.0,1.5,1153.0999908447266,288.27499771118164,375.0,93.75,44.0,11.0,5351.0,1337.75,82.0,20.5,4259.0,1064.75,0.0,0.0,0.0,0.0,0.071,8.59,14.34,0.0,5.67,0.12,14.27,0.0,65.05,0.21,65.26,14.06,3.0,5.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
139,Da'Mari Scott,2019,3.0,3.0,2.0,22.0,19.0,14.0,0.0,0.0,4.7,0.004,0.005,0.0,7.33,11.0,0.0,5.0,3.0,0.0,0.0,27.0,9.0,2.0,0.0,11.0,2.5,13.5,2.35,0.0,0.152,153,0.003,2018.0,8.0,48.0,263.0,72.0,205.0,24,4,12,0,0.25,1.0,3.0,3.0,2.0,2.0,22.0,22.0,19.0,19.0,14.0,14.0,0.0,0.0,0.0,0.0,4.699999809265137,4.699999809265137,3.0,3.0,0.0,0.0,27.0,27.0,2.0,2.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,7.33,11.0,0.0,5.0,0.0,9.0,0.0,11.0,2.5,13.5,2.35,3.0,5.0,17709.69645390071,20112021.9964539,2011.186524822695,72.68675177304964,207.25886524822695,9.586666666666668,52200.00992907801,72.80425531914894,207.31560283687944,32.67433333333334,4.5200463320463315,35.373366013071895,15.492,4.243622902270483,120.43132328308208,6.9371444695259585,11.728636363636362,19.495495495495497
140,Da'Rick Rogers,2013,2.0,23.0,14.0,192.0,245.0,117.0,2.0,0.0,45.2,0.038,0.035,0.087,8.35,13.71,0.0,0.0,15.0,2.0,0.13,192.0,12.8,4.0,0.0,48.0,0.0,48.0,11.3,0.0,0.598,605,0.02,2013.0,8.0,48.0,263.0,75.0,215.0,22,11,5,0,0.688,0.0,23.0,23.0,14.0,14.0,192.0,192.0,245.0,245.0,117.0,117.0,2.0,2.0,0.0,0.0,45.20000076293945,45.20000076293945,15.0,15.0,2.0,2.0,192.0,192.0,4.0,4.0,605.0,605.0,0.0,0.0,0.0,0.0,0.087,8.35,13.71,0.0,0.0,0.13,12.8,0.0,48.0,0.0,48.0,11.3,1.0,5.0,18187.0,20130630.0,2013.0,74.5,217.0,9.586666666666668,38505.0,75.0,208.0,32.67433333333334,4.52,39.5,10.0,4.06,132.0,6.71,11.728636363636362,19.495495495495497
141,DaeSean Hamilton,2020,2.0,44.0,23.0,293.0,591.0,95.0,2.0,1.0,61.3,0.122,0.073,0.045,6.66,12.74,0.0,0.0,23.0,2.0,0.09,293.0,12.74,12.0,0.0,24.42,0.0,24.42,5.11,0.0,0.487,497,0.032,2018.0,4.0,13.0,113.0,73.0,206.0,25,5,11,0,0.312,2.0,142.0,71.0,81.0,40.5,833.0,416.5,1411.0,705.5,290.0,145.0,5.0,2.5,1.0,0.5,191.3000030517578,95.6500015258789,81.0,40.5,5.0,2.5,833.0,416.5,32.0,16.0,1600.0,800.0,0.0,0.0,0.0,0.0,0.035,5.87,10.28,0.0,0.0,0.06,10.28,0.0,26.03,0.0,26.03,5.98,1.0,3.0,20063.0,20180113.0,2018.0,73.0,203.0,9.586666666666668,16802.0,73.0,203.0,32.67433333333334,4.5200463320463315,34.5,15.492,4.15,118.0,6.84,11.728636363636362,19.495495495495497
142,Damian Williams,2013,2.0,23.0,15.0,178.0,266.0,47.0,0.0,0.0,32.8,0.056,0.04,0.0,7.74,11.87,0.0,0.0,15.0,0.0,0.0,178.0,11.87,8.0,0.0,22.25,0.0,22.25,4.1,0.0,0.362,368,0.02,2010.0,3.0,13.0,77.0,73.0,200.0,25,7,9,0,0.438,3.0,68.0,22.666666666666668,45.0,15.0,502.0,167.33333333333334,688.0,229.33333333333331,122.0,40.66666666666666,2.0,0.6666666666666666,0.0,0.0,107.20000076293944,35.733333587646484,45.0,15.0,2.0,0.6666666666666666,502.0,167.33333333333334,21.0,7.0,822.0,274.0,0.0,0.0,0.0,0.0,0.029,7.38,11.16,0.0,0.0,0.04,11.16,0.0,23.9,0.0,23.9,5.1,6.0,11.0,17326.0,20100077.0,2010.0,72.63,197.0,9.586666666666668,90089.0,73.0,193.0,32.67433333333334,4.52,38.0,19.0,4.24,118.0,6.79,11.728636363636362,19.495495495495497
